Time (s),Speed (m/s)
0.0,0.0
0.02,0.0504
0.04,0.1008
0.06,0.1512
0.08,0.2016
0.1,0.252
0.12,0.3024
0.14,0.3528
0.16,0.4032
0.18,0.4536
0.2,0.504
0.22,0.5544
0.24,0.6048
0.26,0.6552
0.28,0.7056
0.3,0.756
0.32,0.8064
0.34,0.8568
0.36,0.9072
0.38,0.9576
0.4,1.008
0.42,1.0584
0.44,1.1088
0.46,1.1592
0.48,1.2096
0.5,1.26
0.52,1.3104
0.54,1.3608
0.56,1.4112
0.58,1.4616
0.6,1.512
0.62,1.5624
0.64,1.6128
0.66,1.6632
0.68,1.7136
0.7000000000000001,1.764
0.72,1.8144
0.74,1.8648
0.76,1.9152
0.78,1.9656
0.8,2.016
0.8200000000000001,2.0664
0.84,2.1168
0.86,2.1672000000000002
0.88,2.2176
0.9,2.268
0.92,2.3184
0.9400000000000001,2.3688000000000002
0.96,2.4192
0.98,2.4696
1.0,2.52
1.02,2.5704000000000002
1.04,2.6208
1.06,2.6712
1.08,2.7216
1.1,2.7720000000000002
1.12,2.8224
1.1400000000000001,2.8728
1.16,2.9232
1.18,2.9736000000000002
1.2,3.024
1.22,3.0744
1.24,3.1248
1.26,3.1752000000000002
1.28,3.2256
1.3,3.276
1.32,3.3264
1.34,3.3768000000000002
1.36,3.4272
1.3800000000000001,3.4776
1.4000000000000001,3.528
1.42,3.5784000000000002
1.44,3.6288
1.46,3.6792
1.48,3.7296
1.5,3.7800000000000002
1.52,3.8304
1.54,3.8808
1.56,3.9312
1.58,3.9816000000000003
1.6,4.032
1.62,4.0824
1.6400000000000001,4.1328
1.6600000000000001,4.1832
1.68,4.2336
1.7,4.284
1.72,4.3344000000000005
1.74,4.3848
1.76,4.4352
1.78,4.4856
1.8,4.536
1.82,4.5864
1.84,4.6368
1.86,4.6872
1.8800000000000001,4.7376000000000005
1.9000000000000001,4.788
1.92,4.8384
1.94,4.8888
1.96,4.9392
1.98,4.9896
2.0,5.04
2.02,5.0904
2.04,5.1408000000000005
2.06,5.1912
2.08,5.2416
2.1,5.292
2.12,5.3424
2.14,5.3928
2.16,5.4432
2.18,5.4936
2.2,5.5440000000000005
2.22,5.5944
2.24,5.6448
2.2600000000000002,5.6952
2.2800000000000002,5.7456
2.3000000000000003,5.796
2.32,5.8464
2.34,5.8968
2.36,5.9472000000000005
2.38,5.9976
2.4,6.048
2.42,6.0984
2.44,6.1488
2.46,6.1992
2.48,6.2496
2.5,6.3
2.52,6.3504000000000005
2.54,6.4008
2.56,6.4512
2.58,6.5016
2.6,6.552
2.62,6.6024
2.64,6.6528
2.66,6.7032
2.68,6.7536000000000005
2.7,6.804
2.72,6.8544
2.74,6.9048
2.7600000000000002,6.9552
2.7800000000000002,7.0056
2.8000000000000003,7.056
2.82,7.1064
2.84,7.1568000000000005
2.86,7.2072
2.88,7.2576
2.9,7.308
2.92,7.3584
2.94,7.4088
2.96,7.4592
2.98,7.5096
3.0,7.5600000000000005
3.02,7.6104
3.04,7.6608
3.06,7.7112
3.08,7.7616
3.1,7.812
3.12,7.8624
3.14,7.9128
3.16,7.9632000000000005
3.18,8.0136
3.2,8.064
3.22,8.1144
3.24,8.1648
3.2600000000000002,8.2152
3.2800000000000002,8.2656
3.3000000000000003,8.316
3.3200000000000003,8.3664
3.34,8.4168
3.36,8.4672
3.38,8.5176
3.4,8.568
3.42,8.6184
3.44,8.668800000000001
3.46,8.7192
3.48,8.7696
3.5,8.82
3.52,8.8704
3.54,8.9208
3.56,8.9712
3.58,9.0216
3.6,9.072
3.62,9.1224
3.64,9.1728
3.66,9.2232
3.68,9.2736
3.7,9.324
3.72,9.3744
3.74,9.4248
3.7600000000000002,9.475200000000001
3.7800000000000002,9.5256
3.8000000000000003,9.576
3.8200000000000003,9.6264
3.84,9.6768
3.86,9.7272
3.88,9.7776
3.9,9.828
3.92,9.8784
3.94,9.9288
3.96,9.9792
3.98,10.0296
4.0,10.08
4.0200000000000005,10.1304
4.04,10.1808
4.0600000000000005,10.2312
4.08,10.281600000000001
4.1,10.332
4.12,10.3824
4.14,10.4328
4.16,10.4832
4.18,10.5336
4.2,10.584
4.22,10.6344
4.24,10.6848
4.26,10.7352
4.28,10.7856
4.3,10.836
4.32,10.8864
4.34,10.9368
4.36,10.9872
4.38,11.0376
4.4,11.088000000000001
4.42,11.1384
4.44,11.1888
4.46,11.2392
4.48,11.2896
4.5,11.34
4.5200000000000005,11.3904
4.54,11.4408
4.5600000000000005,11.4912
4.58,11.5416
4.6000000000000005,11.592
4.62,11.6424
4.64,11.6928
4.66,11.7432
4.68,11.7936
4.7,11.844
4.72,11.894400000000001
4.74,11.9448
4.76,11.9952
4.78,12.0456
4.8,12.096
4.82,12.1464
4.84,12.1968
4.86,12.2472
4.88,12.2976
4.9,12.348
4.92,12.3984
4.94,12.4488
4.96,12.4992
4.98,12.5496
5.0,12.6
5.0200000000000005,12.6
5.04,12.6
5.0600000000000005,12.6
5.08,12.6
5.1000000000000005,12.6
5.12,12.6
5.14,12.6
5.16,12.6
5.18,12.6
5.2,12.6
5.22,12.6
5.24,12.6
5.26,12.6
5.28,12.6
5.3,12.6
5.32,12.6
5.34,12.6
5.36,12.6
5.38,12.6
5.4,12.6
5.42,12.6
5.44,12.6
5.46,12.6
5.48,12.6
5.5,12.6
5.5200000000000005,12.6
5.54,12.6
5.5600000000000005,12.6
5.58,12.6
5.6000000000000005,12.6
5.62,12.6
5.64,12.6
5.66,12.6
5.68,12.6
5.7,12.6
5.72,12.6
5.74,12.6
5.76,12.6
5.78,12.6
5.8,12.6
5.82,12.6
5.84,12.6
5.86,12.6
5.88,12.6
5.9,12.6
5.92,12.6
5.94,12.6
5.96,12.6
5.98,12.6
6.0,12.6
6.0200000000000005,12.6
6.04,12.6
6.0600000000000005,12.6
6.08,12.6
6.1000000000000005,12.6
6.12,12.6
6.140000000000001,12.6
6.16,12.6
6.18,12.6
6.2,12.6
6.22,12.6
6.24,12.6
6.26,12.6
6.28,12.6
6.3,12.6
6.32,12.6
6.34,12.6
6.36,12.6
6.38,12.6
6.4,12.6
6.42,12.6
6.44,12.6
6.46,12.6
6.48,12.6
6.5,12.6
6.5200000000000005,12.6
6.54,12.6
6.5600000000000005,12.6
6.58,12.6
6.6000000000000005,12.6
6.62,12.6
6.640000000000001,12.6
6.66,12.6
6.68,12.6
6.7,12.6
6.72,12.6
6.74,12.6
6.76,12.6
6.78,12.6
6.8,12.6
6.82,12.6
6.84,12.6
6.86,12.6
6.88,12.6
6.9,12.6
6.92,12.6
6.94,12.6
6.96,12.6
6.98,12.6
7.0,12.6
7.0200000000000005,12.6
7.04,12.6
7.0600000000000005,12.6
7.08,12.6
7.1000000000000005,12.6
7.12,12.6
7.140000000000001,12.6
7.16,12.6
7.18,12.6
7.2,12.6
7.22,12.6
7.24,12.6
7.26,12.6
7.28,12.6
7.3,12.6
7.32,12.6
7.34,12.6
7.36,12.6
7.38,12.6
7.4,12.6
7.42,12.6
7.44,12.6
7.46,12.6
7.48,12.6
7.5,12.6
7.5200000000000005,12.6
7.54,12.6
7.5600000000000005,12.6
7.58,12.6
7.6000000000000005,12.6
7.62,12.6
7.640000000000001,12.6
7.66,12.6
7.68,12.6
7.7,12.6
7.72,12.6
7.74,12.6
7.76,12.6
7.78,12.6
7.8,12.6
7.82,12.6
7.84,12.6
7.86,12.6
7.88,12.6
7.9,12.6
7.92,12.6
7.94,12.6
7.96,12.6
7.98,12.6
8.0,12.6
8.02,12.6
8.040000000000001,12.6
8.06,12.6
8.08,12.6
8.1,12.6
8.120000000000001,12.6
8.14,12.6
8.16,12.6
8.18,12.6
8.2,12.6
8.22,12.6
8.24,12.6
8.26,12.6
8.28,12.6
8.3,12.6
8.32,12.6
8.34,12.6
8.36,12.6
8.38,12.6
8.4,12.6
8.42,12.6
8.44,12.6
8.46,12.6
8.48,12.6
8.5,12.6
8.52,12.6
8.540000000000001,12.6
8.56,12.6
8.58,12.6
8.6,12.6
8.620000000000001,12.6
8.64,12.6
8.66,12.6
8.68,12.6
8.700000000000001,12.6
8.72,12.6
8.74,12.6
8.76,12.6
8.78,12.6
8.8,12.6
8.82,12.6
8.84,12.6
8.86,12.6
8.88,12.6
8.9,12.6
8.92,12.6
8.94,12.6
8.96,12.6
8.98,12.6
9.0,12.6
9.02,12.6
9.040000000000001,12.6
9.06,12.6
9.08,12.6
9.1,12.6
9.120000000000001,12.6
9.14,12.6
9.16,12.6
9.18,12.6
9.200000000000001,12.6
9.22,12.6
9.24,12.6
9.26,12.6
9.28,12.6
9.3,12.6
9.32,12.6
9.34,12.6
9.36,12.6
9.38,12.6
9.4,12.6
9.42,12.6
9.44,12.6
9.46,12.6
9.48,12.6
9.5,12.6
9.52,12.6
9.540000000000001,12.6
